month,level_1,level_2,level_3,value
1988-12,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,61240.1
1988-12,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,10516.1
1988-12,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,14600.3
1988-12,Total International Visitor Arrivals By Country Of Residence,Asia,India,16971.1
1988-12,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2387.6
1988-12,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4024
1988-12,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,21886.7
1988-12,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,10603.3
1988-12,Total International Visitor Arrivals By Country Of Residence,Europe,France,5195.7
1988-12,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4149.2
1988-12,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5288.3
1988-12,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,4826.9
1988-12,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3059.3
1988-12,Total International Visitor Arrivals By Country Of Residence,Americas,USA,19695.4
1988-12,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4002.1
1988-12,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,32568.8
1988-12,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7184.4
1989-01,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,100774.2
1989-01,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,63307.5
1989-01,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,11095.2
1989-01,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,14886.5
1989-01,Total International Visitor Arrivals By Country Of Residence,Asia,India,16549.5
1989-01,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2571.2
1989-01,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4195.2
1989-01,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,22965.2
1989-01,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,10919.3
1989-01,Total International Visitor Arrivals By Country Of Residence,Europe,France,6448.2
1989-01,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4237.5
1989-01,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5401.9
1989-01,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,4966.3
1989-01,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3184
1989-01,Total International Visitor Arrivals By Country Of Residence,Americas,USA,20562.5
1989-01,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,3990.5
1989-01,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,33258.9
1989-01,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7562.8
1989-02,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,98972.6
1989-02,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,59382.4
1989-02,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,11460.7
1989-02,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,15464.7
1989-02,Total International Visitor Arrivals By Country Of Residence,Asia,India,17144.9
1989-02,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2596.6
1989-02,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,3837.2
1989-02,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,22371.6
1989-02,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11968.3
1989-02,Total International Visitor Arrivals By Country Of Residence,Europe,France,5375.7
1989-02,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4781.3
1989-02,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5875.4
1989-02,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5219.9
1989-02,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3186.8
1989-02,Total International Visitor Arrivals By Country Of Residence,Americas,USA,19916.7
1989-02,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4378.7
1989-02,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,33910.8
1989-02,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7557.5
1989-03,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,103492.8
1989-03,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,64077.5
1989-03,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,13636.5
1989-03,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,15311.6
1989-03,Total International Visitor Arrivals By Country Of Residence,Asia,India,16628
1989-03,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2832.9
1989-03,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4084.8
1989-03,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,23171.9
1989-03,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,13297.5
1989-03,Total International Visitor Arrivals By Country Of Residence,Europe,France,5815
1989-03,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,5262.9
1989-03,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5870.3
1989-03,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5700
1989-03,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3667.7
1989-03,Total International Visitor Arrivals By Country Of Residence,Americas,USA,21158.4
1989-03,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4322.5
1989-03,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,39840.2
1989-03,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6997.3
1989-04,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,108280.1
1989-04,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,66184.2
1989-04,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,9452.5
1989-04,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,16942.2
1989-04,Total International Visitor Arrivals By Country Of Residence,Asia,India,16556
1989-04,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2976.4
1989-04,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4203.3
1989-04,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,22953.8
1989-04,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11359.6
1989-04,Total International Visitor Arrivals By Country Of Residence,Europe,France,6323.4
1989-04,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4989.3
1989-04,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5628.3
1989-04,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5369.1
1989-04,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3303.6
1989-04,Total International Visitor Arrivals By Country Of Residence,Americas,USA,22613.4
1989-04,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4608.6
1989-04,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,36085.2
1989-04,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7000
1989-05,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,94856.6
1989-05,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,67143.9
1989-05,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,11444.2
1989-05,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,17264.6
1989-05,Total International Visitor Arrivals By Country Of Residence,Asia,India,16061.1
1989-05,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2536.6
1989-05,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4271
1989-05,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,22175.5
1989-05,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11948.7
1989-05,Total International Visitor Arrivals By Country Of Residence,Europe,France,5625.9
1989-05,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4559.9
1989-05,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5848.7
1989-05,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5712
1989-05,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3336
1989-05,Total International Visitor Arrivals By Country Of Residence,Americas,USA,19461.8
1989-05,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4463.8
1989-05,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,35889.5
1989-05,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7226
1989-06,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,104464.2
1989-06,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,69498.2
1989-06,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,11916.4
1989-06,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,17388.5
1989-06,Total International Visitor Arrivals By Country Of Residence,Asia,India,16327.8
1989-06,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2933.3
1989-06,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4259.7
1989-06,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,23026.9
1989-06,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11267.1
1989-06,Total International Visitor Arrivals By Country Of Residence,Europe,France,5344.1
1989-06,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4230.8
1989-06,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,6096.2
1989-06,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5149.8
1989-06,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3444.2
1989-06,Total International Visitor Arrivals By Country Of Residence,Americas,USA,19889.2
1989-06,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4816.3
1989-06,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,38189.8
1989-06,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6978.1
1989-07,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,105472.9
1989-07,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,72093.3
1989-07,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,12269.8
1989-07,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,18759
1989-07,Total International Visitor Arrivals By Country Of Residence,Asia,India,15697.4
1989-07,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2697.2
1989-07,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,3491.9
1989-07,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,23053.4
1989-07,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11658.1
1989-07,Total International Visitor Arrivals By Country Of Residence,Europe,France,5760.3
1989-07,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4851.8
1989-07,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5927.9
1989-07,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5338.3
1989-07,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3262.8
1989-07,Total International Visitor Arrivals By Country Of Residence,Americas,USA,20606.3
1989-07,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4849.5
1989-07,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,38143.5
1989-07,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,8904.7
1989-08,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,104673.3
1989-08,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,72805
1989-08,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,12322.4
1989-08,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,18286.7
1989-08,Total International Visitor Arrivals By Country Of Residence,Asia,India,15580.3
1989-08,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2965.9
1989-08,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,3658.9
1989-08,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,23516.3
1989-08,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11618.9
1989-08,Total International Visitor Arrivals By Country Of Residence,Europe,France,5684.3
1989-08,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4491
1989-08,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,6038.8
1989-08,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5215.7
1989-08,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3251
1989-08,Total International Visitor Arrivals By Country Of Residence,Americas,USA,19946.7
1989-08,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4615.3
1989-08,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,37519.4
1989-08,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6401.9
1989-09,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,111951.7
1989-09,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,75610.7
1989-09,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,13070.7
1989-09,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,21941.8
1989-09,Total International Visitor Arrivals By Country Of Residence,Asia,India,14717.6
1989-09,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2665.6
1989-09,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4243.9
1989-09,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,22942
1989-09,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11710.9
1989-09,Total International Visitor Arrivals By Country Of Residence,Europe,France,5590.1
1989-09,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4038.8
1989-09,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,6060.2
1989-09,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5027.6
1989-09,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,2993.4
1989-09,Total International Visitor Arrivals By Country Of Residence,Americas,USA,21200.2
1989-09,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4668.2
1989-09,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,39046.1
1989-09,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6870.2
1989-10,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,113957.9
1989-10,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,75675.3
1989-10,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,12999.8
1989-10,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,22283.3
1989-10,Total International Visitor Arrivals By Country Of Residence,Asia,India,15680.1
1989-10,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,3046.8
1989-10,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4995.6
1989-10,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,24098.9
1989-10,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11430.2
1989-10,Total International Visitor Arrivals By Country Of Residence,Europe,France,6036.5
1989-10,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4370.6
1989-10,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5517.3
1989-10,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5035.4
1989-10,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3325.1
1989-10,Total International Visitor Arrivals By Country Of Residence,Americas,USA,21613.9
1989-10,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4634.1
1989-10,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,39391.8
1989-10,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7316
1989-11,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,118172.5
1989-11,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,75632.9
1989-11,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,13766.4
1989-11,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,21856.6
1989-11,Total International Visitor Arrivals By Country Of Residence,Asia,India,16512.4
1989-11,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2932.8
1989-11,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4781.5
1989-11,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,24605.1
1989-11,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11192.2
1989-11,Total International Visitor Arrivals By Country Of Residence,Europe,France,5231.5
1989-11,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4388.5
1989-11,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,6479.6
1989-11,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,4612.8
1989-11,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3102.6
1989-11,Total International Visitor Arrivals By Country Of Residence,Americas,USA,20842.3
1989-11,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5235.8
1989-11,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,40197
1989-11,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7215.5
1989-12,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,106781.7
1989-12,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,79017.9
1989-12,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,13654
1989-12,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,23869.4
1989-12,Total International Visitor Arrivals By Country Of Residence,Asia,India,16802.7
1989-12,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2883.9
1989-12,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4589
1989-12,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,25604.3
1989-12,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11645.1
1989-12,Total International Visitor Arrivals By Country Of Residence,Europe,France,5468.9
1989-12,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4553.4
1989-12,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5830.2
1989-12,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5169.3
1989-12,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3222.7
1989-12,Total International Visitor Arrivals By Country Of Residence,Americas,USA,20288.6
1989-12,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4778.9
1989-12,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,37847.1
1989-12,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6874.5
1990-01,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,116404.2
1990-01,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,83830.6
1990-01,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,14513.7
1990-01,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,18161.5
1990-01,Total International Visitor Arrivals By Country Of Residence,Asia,India,17521.1
1990-01,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,3041
1990-01,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4589.5
1990-01,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,24853.1
1990-01,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,10989.7
1990-01,Total International Visitor Arrivals By Country Of Residence,Europe,France,5629.9
1990-01,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,5076.9
1990-01,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5566.9
1990-01,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5055.2
1990-01,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3469.7
1990-01,Total International Visitor Arrivals By Country Of Residence,Americas,USA,20158.8
1990-01,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4887.6
1990-01,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,38743.6
1990-01,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7021
1990-02,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,121584.2
1990-02,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,82665.1
1990-02,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,14498.5
1990-02,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,20463.8
1990-02,Total International Visitor Arrivals By Country Of Residence,Asia,India,16581.8
1990-02,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,3179.1
1990-02,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4332.6
1990-02,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,26347.9
1990-02,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11260.3
1990-02,Total International Visitor Arrivals By Country Of Residence,Europe,France,6156.4
1990-02,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4825.9
1990-02,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,6079.8
1990-02,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5107.3
1990-02,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3439.8
1990-02,Total International Visitor Arrivals By Country Of Residence,Americas,USA,22172
1990-02,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5227.9
1990-02,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,39149.2
1990-02,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6672.7
1990-03,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,115785
1990-03,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,80337.2
1990-03,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,13615.6
1990-03,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,21433
1990-03,Total International Visitor Arrivals By Country Of Residence,Asia,India,17638.1
1990-03,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2930.3
1990-03,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4299.1
1990-03,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,23309.3
1990-03,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11946.8
1990-03,Total International Visitor Arrivals By Country Of Residence,Europe,France,7768
1990-03,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4772.4
1990-03,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,6215.7
1990-03,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5221.2
1990-03,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3793.3
1990-03,Total International Visitor Arrivals By Country Of Residence,Americas,USA,21389
1990-03,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5479
1990-03,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,38008.5
1990-03,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6782.2
1990-04,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,119193
1990-04,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,81460.1
1990-04,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,15761.4
1990-04,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,20095
1990-04,Total International Visitor Arrivals By Country Of Residence,Asia,India,17291
1990-04,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2756
1990-04,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,3681
1990-04,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,25541.1
1990-04,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,12713.3
1990-04,Total International Visitor Arrivals By Country Of Residence,Europe,France,5310.6
1990-04,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4103
1990-04,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5871.8
1990-04,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5132.9
1990-04,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3529.7
1990-04,Total International Visitor Arrivals By Country Of Residence,Americas,USA,22012.4
1990-04,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4737.8
1990-04,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,42019.6
1990-04,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6500.8
1990-05,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,121642.1
1990-05,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,77751.9
1990-05,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,16783.6
1990-05,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,19972.3
1990-05,Total International Visitor Arrivals By Country Of Residence,Asia,India,17695.6
1990-05,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2767.9
1990-05,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,3651.2
1990-05,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,25698.9
1990-05,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11264.4
1990-05,Total International Visitor Arrivals By Country Of Residence,Europe,France,6307.1
1990-05,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4708.7
1990-05,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,6592.7
1990-05,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,4848.7
1990-05,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4005.3
1990-05,Total International Visitor Arrivals By Country Of Residence,Americas,USA,22226.7
1990-05,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5569.5
1990-05,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,38090.9
1990-05,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6152.8
1990-06,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,120126.7
1990-06,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,82868.3
1990-06,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,15238.3
1990-06,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,18395.6
1990-06,Total International Visitor Arrivals By Country Of Residence,Asia,India,17965.7
1990-06,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2768.9
1990-06,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,3630.5
1990-06,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,23107.3
1990-06,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11392.5
1990-06,Total International Visitor Arrivals By Country Of Residence,Europe,France,5920.1
1990-06,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,4275.1
1990-06,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,6000.6
1990-06,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,5062.4
1990-06,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3779
1990-06,Total International Visitor Arrivals By Country Of Residence,Americas,USA,21843.3
1990-06,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4747.2
1990-06,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,37359.4
1990-06,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6047.8
1990-07,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,119734.1
1990-07,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,80644.2
1990-07,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,16788
1990-07,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,16868.3
1990-07,Total International Visitor Arrivals By Country Of Residence,Asia,India,17910.6
1990-07,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,2558.5
